Category,Merchant Name,Address,City
Patio de comida,TOMMY BEANS MAIPU,AMERICO VESPUCIO 399 LOCAL 11-A,Maipu
Patio de comida,BURGER KING MALL ARAUCO FC,AMERICO VESPUCIO 399 LOCAL 16,Maipu
Patio de comida,TARRAGONA ARAUCO MAIPU,AMÉRICO VESPUCIO 399 LOCAL 6 A,Maipu
Patio de comida,CHINA WOK MALL ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL 17,Maipu
Restaurantes,GRIDO HELADOS - GRIDO CAFE,AMERICO VESPUCIO 399 LOCAL 42,Maipu
Patio de comida,BUFALO BEEF - MAIPU,AMERICO VESPUCIO 399 LOC 198,Maipu
Patio de comida,SAVORY OUTLET MAIPU 3,AMERICO VESPUCIO 399 LOCAL 094,Maipu
Patio de comida,DOMINO ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL 14,Maipu
Patio de comida,WENDY´S MALL ARAUCO MAIPU,AMERICO VESPUCIO 399 LOCAL 15,Maipu
Patio de comida,DOGGIS OUTLET MAIPÚ,AMERICO VESPUCIO 399 LOCAL 8,Maipu
Patio de comida,SAVORY MALL ARAUCO MAIPU 2,AMERICO VESPUCIO 399 LOCAL 07,Maipu
Minimarket,MC E HIJOS SPA,AMERICO VESPUCIO 974,Maipu
Casinos,CASTANO E-INMA,AMERICO VESPUCIO 974 INTERIOR INACAP MAIPU,Maipu
Casinos,INACAP MAIPU,AMERICO VESPUCIO 974,Maipu
Restaurantes,8 BURGUERS,AVENIDA LAS NACIONES 550 LOCAL 1,Maipu
Restaurantes,SUSHITOMO 2.0,AV EL ROSAL 6361 LOCAL 5,Maipu
Patio de comida,JUMBO MAIPU 2,AMERICO VESPUCIO 1001 LOCAL 1037,Maipu
Patio de comida,DUNKIN' DONUTS MAIPU,AMERICO VESPUCIO 1001 AL 1069,Maipu
Patio de comida,DUNKIN LIDER PAJARITOS,PAJARITOS 4500 LOCAL 6 (SM 075) HIPER LIDER PAJARITOS,Maipu
Patio de comida,DOGGIS LIDER PAJARITOS,PAJARITOS 4500 11,Maipu
Patio de comida,KAMI 4 PONIENTE,CUATRO PONIENTE 1253,Maipu
Patio de comida,K107 KFC EL ROSAL,AMERICO VESPUCIO 1076 LOCAL 4 Y 5,Maipu
Patio de comida,K106 KFC MID MALL,CAMINO A MELIPILLA 15900 LOCAL 2311 Y 2312,Maipu
Patio de comida,JUAN MAESTRO MIDMALL OUTLET MAIPU,CAMINO A MELIPILLA 15900 2316 MID MALL OUTLET MAIPU,Maipu
Patio de comida,BURGER KING PARACELSO,PARACELSO 15845 LOCAL 2309,Maipu
Patio de comida,DUNKIN - SWEET ZONE PLAZA OESTE,AMERCIO VESPUCIO 1501 LOCAL MP292-MP296,Cerrillos
Restaurantes,BURGER WON,AMERICO VESPUCIO 1501,Cerrillos
Patio de comida,SUBWAY MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL L-2A,Cerrillos
Restaurantes,HOT SNACKS,AMERICO VESPUCIO 1501 LOCAL MF1063 AM 1063,Cerrillos
Patio de comida,SUBWAY,CAMINO A MELIPILLA 15900,Maipu
Patio de comida,TARRAGONA MAIPU,CAMINO A MELIPILLA 15900 LOCAL 2312,Maipu
Patio de comida,CAFETERIA SAVORY MID MALL MAIPU,MELIPILLA 15900 LOCAL 1046,Maipu
Patio de comida,"PEDRO, JUAN DIEGO",PARACELSO 15845 LOCAL 2315,Maipu
Restaurantes,JUAN PABLO MUNOZ PONCE,OBISPO RAIMUNDO VALENZUELA 204 OBISPO RAIMUNDO VALENZUELA,Maipu
Patio de comida,BUFALO BEEF CERRILOS,AMERICO VESPUCIO 1501 LOCAL B 318-B 322,Cerrillos
Patio de comida,BURGER KING PLAZA OESTE FC,AMERICO VESPUCIO 1501 LOCAL B-313,Cerrillos
Patio de comida,DUNKIN' DONUTS PLAZA OESTE 2,AMERICO VESPUCIO 1501 LOCAL MP-144,Cerrillos
Patio de comida,TARRAGONA PLAZA OESTE 2,AMERICO VESPUCIO 1501 LOCAL B-366,Cerrillos
Patio de comida,STARBUCKS MALL PLAZA OESTE,"AMERICO VESPUCIO 1501 LOCAL BA204, MALL PLAZA OESTE",Cerrillos
Patio de comida,CHINA WOK PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B 310,Cerrillos
Patio de comida,JUAN MAESTRO PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B 337,Cerrillos
Patio de comida,DOMINO BOULEVARD MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL T-206,Cerrillos
Patio de comida,DOMINO PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-301 B-305,Cerrillos
Patio de comida,KFC MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B 329,Cerrillos
Patio de comida,SAVORY PARIS PLAZA OESTE 3,AMERICO VESPUCIO 1501 LOCAL A 361,Cerrillos
Patio de comida,BUFFET EXPRESS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B318-B322,Cerrillos
Patio de comida,DOGGIS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-337,Cerrillos
Patio de comida,DUNKIN' DONUTS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL C-265,Cerrillos
Patio de comida,MAMUT PLAZA OESTE,AMERICO VESPUCIO 1501 B-137 Y B-141,Cerrillos
Patio de comida,PIZZA HUT - PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-317/B-321,Cerrillos
Patio de comida,TOMMY BEANS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-309,Cerrillos
Restaurantes,L Y F,AMERICO VESPUCIO 1501,Cerrillos
Patio de comida,RENDIBU CERRILLOS,AMERICO VESPUCIO 1501,Cerrillos
Patio de comida,SUBWAY CERRILLOS,AMERICO VESPUCIO 1501 LOCAL T204,Cerrillos
Patio de comida,FRUGURT PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL A-205 AL INTERIOR DEL MALL PLAZA OESTE,Cerrillos
Minimarket,JOCELYN FABIOLA URRUTIA DIAZ,PUERTO MADERO 2878,Maipu
Patio de comida,DOGGIS MALL PLAZA ALAMEDA,LIBERTADOR O'HIGGINS 3470 LOCAL 10,Estacion Central
Restaurantes,LATIN PIZZA CERRILLOS,LO ERRAZURIZ 2091,Cerrillos
Patio de comida,KAMI CERRILLOS,LO ERRAZURIZ 2091,Cerrillos
Restaurantes,COMIDA RAPIDA BUEN SABOR LIMITADA,LAS AGUILAS S N 0,Maipu
Restaurantes,BUEN SABOR,LAS AGUILAS 600 LOCAL 3,Maipu
Restaurantes,BOBIBOBI MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL MP-157 AM157 1Y2,Cerrillos
Minimarket,DUMMBO DONUST,AMERICO VESPUCIO 1501,Cerrillos
Patio de comida,WENDY´S MALL PLAZA OESTE,AMÉRICO VESPUCIO 1501 LOCALES B326-B330,Cerrillos
Patio de comida,SAVORY CERRILOS,AMERICO VESPUCIO 1501 LOCAL A-285,Cerrillos
