Category,Merchant Name,Address,Location
Casinos,YAYITA USACH ESTACION CENTRAL,LIBERTADOR BERNARDO OHIGGINS 3363 KIOSKO 14,Estacion Central
Restaurantes,CHIJA,LA ESTRELLA 500 LOCAL 05,Pudahuel
Patio de comida,HELADERIA ICE CREAM ESTACION CENTRAL,LEBERTADOR BERNARDO OHIGGINS 3470 LOCAL A-238,Estacion Central
Casinos,AMARANTHA,LIBERTADOR BERNARDO O´HIGGINS 3363 O´HIGGINS,Estacion Central
Casinos,ALIMENTOS HEISENBERG ALAMEDA,LIBERTADOR BERNARDO OHIGGINS 3363,Estacion Central
Patio de comida,DUNKIN' DONUTS MALL ALAMEDA MÓDULO,LIBERTADOR BERNARDO O'HIGGINS 3470 AZ 101,Estacion Central
Patio de comida,FRUTOS ALAMEDA,LIBERTADOR BERNARDO O'HIGGINS 3470 LOCAL FC-4024,Estacion Central
Patio de comida,BUFALO BEEF ALAMEDA,LIBERTADOR BERNARDO O´HIGGINS 3470 LOCAL 4066-4068,Estacion Central
Patio de comida,SAVORY ESTACION CENTRAL 5,LIBERTADOR BERNARDO O HIGGINS 3250 LOCAL P-70,Estacion Central
Patio de comida,CHINA WOK MALL ALAMEDA,LIBERTADOR BERNARDO O'HIGGINS 3470 LOCAL FC 4008,Estacion Central
Patio de comida,TOMMY BEANS ESTACION CENTRAL,LIBERTADOR BERNARDO O'HIGGINS 3470 LOCAL 4062,Estacion Central
Patio de comida,SUBWAY MALL PLAZA ALAMEDA,BERNARDO O´HIGGINS 3470,Estacion Central
Patio de comida,"PEDRO, JUAN Y DIEGO MALL PLAZA ALAMEDA",LIBERTADOR BERNARDO O'HIGGINS 3470 LOCAL FC4028,Estacion Central
Patio de comida,DOMINO MALL PLAZA ALAMEDA,LIBERTADOR BERNARDO OHIGGINS 3470 LOCAL T-40,Estacion Central
Patio de comida,WENDY´S MALL PLAZA ALAMEDA,LIBERTADOR BERNARDO OHIGGINS 3470 LOCAL T405 - T409,Estacion Central
Patio de comida,TARRAGONA PLAZA ALAMEDA,LIBERTADOR BERNARDO O'HIGGINS 3470 LOCAL 4036,Estacion Central
Patio de comida,JUAN MAESTRO ALAMEDA,LIBERTADOR BERNARDO O´HIGGINS 3470 LOCAL 4016 MALL PLAZA ALAMEDA,Estacion Central
Patio de comida,DOGGIS ALAMEDA,"LIBERTADOR BERNARDO O'HIGGINS 3470 LOCAL AZ 103 NIVEL 1, INTERIOR MALL PLAZA ALAMEDA",Estacion Central
Patio de comida,TARRAGONA ALAMEDA,LIBERTADOR BERNARDO O'HIGGINS 5199 LOCAL 6,Estacion Central
