Category,Merchant Name,Address,City
Restaurantes,SOW ESPACIO M,COMPAÑÍA 1214 LOCAL 303-B,Santiago
Restaurantes,DON TEO SANTIAGO,BALMORAL 309 LOCAL 6 PISO 1 EDIFICIO 2,Las Condes
Restaurantes,L12 FUEGOS DEL HAMBRE FUENTE SPA,GORBEA 2063,Santiago
Patio de comida,DOMINOS PIZZA TOBALABA,TOBALABA 1385,Providencia
Restaurantes,CAFE HOLA,HUERFANOS 1199 B,Santiago
Restaurantes,VAPIANO,PROVIDENCIA 1984,Providencia
Restaurantes,MY TOLI,SAZIE 1978 LOCAL 4,Santiago
Restaurantes,DENIX MARCELO PARRA MARIN,AV PORTUGAL 84,Santiago
Restaurantes,OK DELICIAS,SAZIE 2180,Santiago
Casinos,COFFEETIME RESB,LA PLAZA 680,Las Condes
Restaurantes,BRAVAZO,HUERFANOS 3044,Santiago
Restaurantes,BIG BOBA LYON,NUEVA DE LYON 26 LOCAL 23,Providencia
Patio de comida,LITTLE CAESARS LAS CONDES,PLAZA 590 LOCAL 108,Las Condes
Patio de comida,LITTLE CAESARS LAS TRANQUERAS,LAS TRANQUERAS 98,Las Condes
Patio de comida,CHILI´S MALL LOS DOMINICOS,PADRE HURTADO SUR 785 A 3024,Las Condes
Patio de comida,CHILI´S PARQUE ARAUCO,KENNEDY 5413 461,Las Condes
Restaurantes,CAFETERIA FORESTAL,ISMAEL VALDES VERGARA 490 LOCAL 1,Santiago
Restaurantes,SELFISH HUERFANOS,HUERFANOS 1369,Santiago
Restaurantes,MUCI,LIBERTADOR BERNARDO OHIGGINS 287,Santiago
Restaurantes,LASTARRIA SHOP SPA,MERCED 336 LOCAL 1,Santiago
Restaurantes,IL CAPO,PADRE ORELLANA 1607,Santiago
Minimarket,PLANTA MAESTRA APOQUINDO,AV APOQUINTO 6272,Las Condes
Restaurantes,SUSHI MAKI,MARIN 451,Santiago
Restaurantes,DELIVERY GOURMET,ROBERTO ESPINOZA 718,Santiago
Patio de comida,FRIES AND BITES,APOQUINDO 4562,Las Condes
Minimarket,HOREB,FABRICA 1804,Santiago
Minimarket,FREST LOS LEONES,LOS LEONES 257 LOCAL 107,Providencia
Restaurantes,DAT BURGER SPA,BREMEN 862 862,Santiago
Restaurantes,CHI FAN,CARMENCITA 13,Las Condes
Restaurantes,KVERNICOLA,LOS MILITARES 5953 LOCAL 108,Las Condes
