Category,Merchant Name,Address,City
Patio de comida,LATIN PIZZA EL BOSQUE,PADRE HURTADO 13180,El Bosque
Patio de comida,WENDY´S MALL PLAZA OESTE,AMÉRICO VESPUCIO 1501 LOCALES B326-B330,Cerrillos
Patio de comida,SAVORY CERRILOS,AMERICO VESPUCIO 1501 LOCAL A-285,Cerrillos
Patio de comida,PARADISO PLAZA OESTE,AMERICO VESPUCIO 1501,Cerrillos
Patio de comida,RENDIBU CERRILLOS,AMERICO VESPUCIO 1501,Cerrillos
Patio de comida,SUBWAY CERRILLOS,AMERICO VESPUCIO 1501 LOCAL T204,Cerrillos
Patio de comida,FRUGURT PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL A-205 AL INTERIOR DEL MALL PLAZA OESTE,Cerrillos
Patio de comida,BUFALO BEEF CERRILOS,AMERICO VESPUCIO 1501 LOCAL B 318-B 322,Cerrillos
Patio de comida,BURGER KING PLAZA OESTE FC,AMERICO VESPUCIO 1501 LOCAL B-313,Cerrillos
Patio de comida,DUNKIN' DONUTS PLAZA OESTE 2,AMERICO VESPUCIO 1501 LOCAL MP-144,Cerrillos
Patio de comida,TARRAGONA PLAZA OESTE 2,AMERICO VESPUCIO 1501 LOCAL B-366,Cerrillos
Patio de comida,STARBUCKS MALL PLAZA OESTE,"AMERICO VESPUCIO 1501 LOCAL BA204, MALL PLAZA OESTE",Cerrillos
Patio de comida,CHINA WOK PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B 310,Cerrillos
Patio de comida,JUAN MAESTRO PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B 337,Cerrillos
Patio de comida,DOMINO BOULEVARD MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL T-206,Cerrillos
Patio de comida,DOMINO PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-301 B-305,Cerrillos
Patio de comida,KFC MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B 329,Cerrillos
Patio de comida,SAVORY PARIS PLAZA OESTE 3,AMERICO VESPUCIO 1501 LOCAL A 361,Cerrillos
Patio de comida,BUFFET EXPRESS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B318-B322,Cerrillos
Patio de comida,DOGGIS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-337,Cerrillos
Patio de comida,DUNKIN' DONUTS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL C-265,Cerrillos
Patio de comida,MAMUT PLAZA OESTE,AMERICO VESPUCIO 1501 B-137 Y B-141,Cerrillos
Patio de comida,PIZZA HUT - PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-317/B-321,Cerrillos
Patio de comida,TOMMY BEANS PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL B-309,Cerrillos
Patio de comida,SOCIEDAD COMERCIAL TARRAGONA S.A,GRAN AVENIDA JOSE MIGUEL CARRERA 3625,San Miguel
Patio de comida,KAMI SAN JOAQUIN,AVENIDA DEPARTAMENTAL 36,San Joaquin
Patio de comida,DUNKIN - SWEET ZONE PLAZA OESTE,AMERCIO VESPUCIO 1501 LOCAL MP292-MP296,Cerrillos
Patio de comida,SUBWAY MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL L-2A,Cerrillos
Patio de comida,DOMINO EL LLANO,LLANO SUBERCASEAUX 3519 PORTAL EL LLANO LOCAL A,San Miguel
Patio de comida,BURGER KING EL LLANO,EL LLANO SUBERCASEAUX 3519 LOCAL 2321,San Miguel
Patio de comida,KFC SAN MIGUEL,EL LLANO SUBERCASEAUX 3519 A LOCAL 2319,San Miguel
Patio de comida,SAVORY JUMBO EL LLANO,EL LLANO SUBERCASEAUX 3519 LOC 1096,San Miguel
Patio de comida,DUNKIN JUMBO EL LLANO,EL LLANO SUBERCASEUX 3519 A- LOCAL 2026,San Miguel
Patio de comida,BUFFALO WAFFLES MALL PLAZA SUR,PRESIDENTE ALESSANDRI 20040 LOCAL MP 126,San Bernardo
Patio de comida,DOGGIS LA FLORIDA,VICUÑA MACKENNA 6100 LOCAL 3523,La Florida
Patio de comida,BUFALO BEEF FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3519,La Florida
Patio de comida,DUNKIN´ FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3103 CENCO FLORIDA,La Florida
Patio de comida,SUSHI BLUES LA FLORIDA,VICUÑA MACKENNA 6100 LOCAL 3511,La Florida
Patio de comida,FLORIDA CENTER 4,VICUÑA MACKENNA 6100 LOCAL 6352,La Florida
Patio de comida,FLORIDA CENTER 2,VICUÑA MACKENNA 6100 DEPTO M6320,La Florida
Patio de comida,FLORIDA CENTER,VICUNA MACKENNA 6100 LOCAL 112,La Florida
Patio de comida,TARRAGONA FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3512,La Florida
Patio de comida,SAVORY FLORIDA CENTER 1,VICUÑA MACKENNA 6100 LOCAL 3536,La Florida
Patio de comida,SAVORY FLORIDA CENTER 2,VICUÑA MACKENNA 6100 LOCAL 1608,La Florida
Patio de comida,DOMINO FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3516,La Florida
Patio de comida,KFC MALL FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3525,La Florida
Patio de comida,DUNKIN' DONUTS FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 114,La Florida
Patio de comida,PIZZA HUT - FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3529,La Florida
Patio de comida,JUAN MAESTRO FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3503,La Florida
Patio de comida,MAMUT FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 1007,La Florida
Patio de comida,BURGER KING FLORIDA CENTER FC,VICUÑA MACKENNA 6100 LOCAL 3504,La Florida
Patio de comida,BUFFET EXPRESS FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3517,La Florida
Patio de comida,TOMMY BEANS FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 3513,La Florida
Patio de comida,PIZZA PIZZA SALOMON SACK 11,SALOMON SACK 11,Cerrillos
Patio de comida,K117 KFC SAN JOAQUIN,VICUNA MACKENNA 4927 LOCALES 4-11-12-13,San Joaquin
Patio de comida,PARADISO VICUÑA MACKENNA,VICUÑA MACKENNA 4917,San Joaquin
Patio de comida,STARBUCKS FLORIDA CENTER,VICUÑA MACKENNA 6100 LOCAL 2095,La Florida
Patio de comida,WENDY´S FLORIDA CENTER,VICUÑA MACKENNA OTE 6100 LOCAL 3519,La Florida
Patio de comida,METRO EL LLANO,ESTACION METRO EL LLANO 0 L -2 DEPTO MODUL,San Miguel
Patio de comida,CASTAÑO CAMPUS SAN JOAQUIN MODULO,VICUÑA MACKENNA 4860 (MODULO),Macul
Patio de comida,STARBUCKS COFFEE VICUÑA MACKENNA 4785,VICUÑA MACKENNA 4785 LOCAL 02,San Joaquin
Puntos verdes,ESTACION NATURAL,MARIA ISABEL 8078,La Cisterna
Puntos verdes,TODOBARATOTC SAN MIGUEL - SOLO COMPRA ONLINE,SAN MIGUEL S/N 0,San Miguel
Puntos verdes,DONDE LEITO,LAZO 1910,Pedro Aguirre Cerda
Restaurantes,BELYSUSHI,GRAN AVENIDA 8702 LOCAL A,La Cisterna
Restaurantes,MARA GLOTONES,LAS BRISAS 91,La Cisterna
Restaurantes,SAN CAMILO 47,AMERICO VESPUCIO 75 LOCALES 2 - 3,La Cisterna
Restaurantes,INVERSIONES BUENA VISTA SPA,AV. AMÉRICO VESPUCIO 33,La Cisterna
Restaurantes,SAN CAMILO 48,AMERICO VESPUCIO 33 LOCAL 218,La Cisterna
Restaurantes,SAN CAMILO 45,AMERICO VESPUCIO 33 LOCAL 122,La Cisterna
Restaurantes,SUSHI CATA,CIENCIAS 8758,La Cisterna
Restaurantes,REY DEL GOHAN,DOS ORIENTE 8516,La Cisterna
Restaurantes,EL RANCHITO,INES RIVAS 259,La Cisterna
Restaurantes,BUENA PINTA 21,GRAN AVENIDA JOSE MIGUEL CARRERA 7942,La Cisterna
Restaurantes,SABOR X2,GRAN AVENIDA JOSE MIGUEL CARRERA 7957,La Cisterna
Restaurantes,MOROS GOURMET,EL PARRON 248,La Cisterna
Restaurantes,SHAWARMAS MOROS,PAULINA 7658,La Cisterna
Restaurantes,AL PASO SUSHI POO,GOYCOLEA 1073 01073,La Cisterna
Restaurantes,SUSHI POO,GOYCOLEA 1045,La Cisterna
Restaurantes,INVERSIONES DZ SPA,AMERICO VESPUCIO 1400 LOCAL 4B,Ñuñoa
Restaurantes,JOSÉ LUIS PAREDES SOTO,DOMINGO GOMEZ ROJAS 871,El Bosque
Restaurantes,DATE CON TODO BURGUER GRILL,GRAN AVENIDA JOSE MIGUEL CARRERA 6798 18-C,La Cisterna
Restaurantes,KAMI SUSHI,GRAN AVENIDA 9950,El Bosque
Restaurantes,VICTOR HUGO BRIONES,AV LA BANDERA 9139,San Ramon
Restaurantes,ARAMARK LO OVALLE 192,LO OVALLE 192,San Miguel
Restaurantes,SOCIEDAD BARBARO?S SPA,ZAPIGA 1739,Lo Espejo
Restaurantes,POR LA FRUTA,JOSE MIGUEL CARRERA 6150 LOCAL 10,San Miguel
Restaurantes,BLESSING WAFFLES,OCTAVA AVENIDA 1118,San Miguel
Restaurantes,KAMI SUSHI SAN RAMON,SANTA ROSA 7917,San Ramon
Restaurantes,IZI SUSHI,PADRE HURTADO 10587,El Bosque
Restaurantes,SAN CAMILO 41,SANTA ROSA 8914 LOCAL 1-2,La Granja
Restaurantes,SIMBAL MARKET II SPA,DIECIOCHO 37,Santiago
Restaurantes,KAMIKAZE SUSHI,CUARTA TRANSVERSAL 5983 A,San Miguel
Restaurantes,DISTRIBUIDORA ADELIA,AV PADRE HURTADO 11503 B,El Bosque
Restaurantes,BLESSING WAFFLES & COFFEE,GRAN AVENIDA 5655 GRAN AVENIDA,San Miguel
Restaurantes,KAMI LO ESPEJO,CENTRAL 6578,Lo Espejo
Restaurantes,SUSHITUMARE SAN MIGUEL,GRAN AVENIDA JOSE MIGUEL CARRERA 5553 LOCAL 23,San Miguel
Restaurantes,99,GABRIELA MISTRAL 9160,Lo Espejo
Restaurantes,SULTAN,CLAUDIO ARRAU 586,El Bosque
Restaurantes,COMIDA AL PASO,PASAJE MAYOR 8905,La Granja
Restaurantes,COSTEPIZZA,AVENIDA PADRE HURTADO 11997,El Bosque
Restaurantes,MINIMARKET PELAO BENO SPA,MONJA ALFEREZ 5233,San Miguel
Restaurantes,SUBWAY JOSE MIGUEL CARRERA,JOSE MIGUEL CARRERA 5018,San Miguel
Restaurantes,EL EXQUISITO,MANUEL RODRIGUEZ 1 CON PASAJE EL SAUCE,La Granja
Restaurantes,SOHOSUSHI,SAN NICOLAS 1123 SAN NICOLAS,San Miguel
Restaurantes,KIOTO SUSHI,GRAN AVENIDA 4945,San Miguel
Restaurantes,LA VEGUITA,GRAN AVENIDA JOSE MIGUEL CARRERA 4929,San Miguel
Restaurantes,PARCERO ROLLS,JOSE SANTOS GONZALEZ VARA 565,La Granja
Restaurantes,SUJEHY TAMARA MAZA CASTRO,AV CLOTARIO BLEST 5728,Pedro Aguirre Cerda
Restaurantes,SUSHICLUB,SEBASTOPOL ENTRE TAHITI Y CALIPSO 295,San Joaquin
Restaurantes,EL GRAN KIKIRIKI (KRK. KIKISIMO),GRAN AVENIDA JOSE MIGUEL CARRERA 4813,San Miguel
Restaurantes,CAFÉ AQUELARRE,GRAN AVENIDA JOSE MIGUEL CARRERA 4813 LOCAL 1,San Miguel
Restaurantes,LA ESQUINA DEL SABOR,GRAN AVENIDA 4724,San Miguel
Restaurantes,PRESTO POLLO,GRAN AVENIDA JOSE MIGUEL CARRERA 4441,San Miguel
Restaurantes,TAZ BURGER,GRAN AVENIDA 4301,San Miguel
Restaurantes,FLOPPA SPA,CLUB HÍPICO LOCAL 12 A 4676,Pedro Aguirre Cerda
Restaurantes,KAISHI SUSHI,AVENIDA CORONEL 8644,La Granja
Restaurantes,CASINO VIVE RUPAYAN,LAS AZALEAS 812,La Granja
Restaurantes,MINIMARKET LOS TOTITOS,ALEJANDRO SCARLATTI 4981,Pedro Aguirre Cerda
Restaurantes,PATRICIO ESTEBAN LEAL JORQUERA,PASAJE HIGUERITAS 975,La Granja
Restaurantes,CRISTOPHER ALEX ARRIAGADA CORTEZ,NUREMBERG 494,San Joaquin
Restaurantes,SABOR X2,GRAN AVENIDA JOSE MIGUEL CARRERA 4251,San Miguel
Restaurantes,MIGUEL ANGEL CORREA CACÉRES,JOAQUÍN DEL PINO 340 340,Santiago
Restaurantes,EMILIO ANDRÉS ARIAS GALLARDO,ALCALDE PEDRO ALARCÓN 550,Santiago
Restaurantes,BOBIBOBI MALL PLAZA OESTE,AMERICO VESPUCIO 1501 LOCAL MP-157 AM157 1Y2,Cerrillos
